branch_name,review_text,star_rating,date
BPI Caloocan Camarin Susano Branch,"sent my brother to open an account, with specific account pero ang daming alam nung customer service iba ang ini-explain sa ini-inquire, and saddest part they’re not familiar to their products which is available thru website 😔 …",1,5 years ago
BPI Caloocan Camarin Susano Branch,Slowest transaction ever never recommend to open account here and to withdraw / deposit,1,11 months ago
BPI Caloocan Camarin Susano Branch,Poor service! You'll need to bring a lot of patience and expect that you'll wait for 4hrs just to be  served!,1,a year ago
BPI Caloocan Camarin Susano Branch,Hello there  pls rate the serviced of this branch because I want to transact to this branch or I will change to another bank I saw many reviews that this is the worst branch is this true or not I'll think before I'll deposit to this branch,1,2 years ago
BPI Caloocan Camarin Susano Branch,Very Limited staff if you are in a hurry this branch is not for you. You might as well go to malls because the line is very long most of the times.,1,2 years ago
BPI Caloocan Camarin Susano Branch,Very poor customer service. It's been years and their service is just the worst. Napakabagal. I had to take a leave from work just to visit and transact with this branch.,1,4 years ago
BPI Caloocan Camarin Susano Branch,"Super slow, very slow and ultra slow, so slow service worst bpi branch",1,a year ago
BPI Caloocan Camarin Susano Branch,"Worst BPI Branch ever - The queue is always packed here. Don't bother visiting this branch, and heck don't even bother opening an account with BPI 😡 …",1,5 years ago
BPI Caloocan Camarin Susano Branch,Super slow service!,1,3 months ago
BPI Caloocan Camarin Susano Branch,Their customer service is terrible. Slow and painful process when opening an account. They don't deserve even 1 star.,1,6 years ago
BPI Caloocan Camarin Susano Branch,"Waited for 4 hours
Understaffed×Not Accomodating",1,11 months ago
BPI Caloocan Camarin Susano Branch,Super slow super mega slow super ulra slow service.,1,11 months ago
BPI Caloocan Camarin Susano Branch,The queue or people's line is always long here :-(,1,8 years ago
BPI Caloocan Camarin Susano Branch,Branch does not seem to answer the phone.,1,6 years ago
BPI Caloocan Camarin Susano Branch,Easy Access in terms of ATM Withdrawals,5,5 years ago
BPI Caloocan Camarin Susano Branch,It so nice,4,11 months ago
BPI Caloocan Camarin Susano Branch,Parking space is always full...,3,7 years ago
BPI Caloocan Camarin Susano Branch,Slowest BPI Transactions!,1,a year ago
BPI Caloocan Camarin Susano Branch,Nice bank,5,4 years ago
BPI Caloocan Camarin Susano Branch,Understaffed.,2,8 months ago
BPI Caloocan Camarin Susano Branch,Nice,5,a year ago
BPI Caloocan Camarin Susano Branch,Worst branch of BPI.,1,2 years ago
BPI Caloocan Camarin Susano Branch,its close until further notice,1,5 years ago
BPI Caloocan Camarin Susano Branch,Slow service.,1,a year ago
BPI Caloocan Camarin Susano Branch,Slow and poor service!!!,1,4 years ago
BPI Caloocan Camarin Susano Branch,not answering my call,1,4 years ago
BPI Caloocan Camarin Susano Branch,Very poor service!!! It's very slow.. anyone can address this issue to speed up the service of this branch. Very waste of time! Hussle can't see your staff!!!,1,3 months ago
BPI Caloocan Camarin Susano Branch,"IF THERE ARE ZERO OR NEGATIVE STARS, THAT'S WHAT I'LL CHOOSE. IT'S TOO LONG! 3 HOURS MINIMUM FOR A SIMPLE CS TRANSACTION.",1,11 months ago
BPI Caloocan Camarin Susano Branch,"Slowest branch I've ever been to. I've been here since 1pm and I'm still here today. (2 hours at least). There were only a few people at first and as time went on, more and more people came, but only a few of them could be called. In 20-30 minutes they only accommodate two or three tellers. Very slow as in.",1,a year ago
BPI Caloocan Camarin Susano Branch,Is the BPI Camarin branch open now?,5,a month ago
BPI Caloocan Camarin Susano Branch,"The line is not too long but the service is really slow. They could accommodate 1 person every 30-40 minutes. When you go here, expect a 4-5 hour waiting time and be patient.",1,a year ago
BPI Caloocan Camarin Susano Branch,Bpi please change your staff downstairs and act so slowly I only arrived 3 of us then my number jumped to 46 then I got 24 then you just say offline the first one arrived,1,11 months ago
BPI Caloocan Camarin Susano Branch,"Very impolite customer service her name is BEA. It's good that their guards said good morning, I said good morning to him. Very unfriendly. I also have accounts with other banks like bdo and metro bank. This is the first time I experienced …",1,a year ago
BPI Caloocan Camarin Susano Branch,Bring a pillow and blanket. There is forever at BPI Camarin branch 😆 2 hours is not enough. GOODLUCK! I hope the complaints about this branch reach the management. …,1,a year ago
BPI Caloocan Camarin Susano Branch,"The bank opening process was very slow, it took me 6 hours to wait for my turn. bad branch! they prioritize only those they know, even though I came to their ""friends"" earlier! very poor customer service, system sucks!",1,2 years ago
BPI Caloocan Camarin Susano Branch,"1hr +++ per transaction for deposit, waste of time. It's okay if there's a long queue, but if it's been 1hr 30mins and the queue still isn't moving, then there must be a problem. The guard said there's only one teller because the other one …",1,3 years ago
BPI Caloocan Camarin Susano Branch,"This branch is so amazing. Before I got in line, they asked for all the IDs I had and they gave me a number, I thought it was okay. Then after 4 hours of waiting, they tell you that the IDs you have are not allowed! The guard should have …",1,2 years ago
BPI Caloocan Camarin Susano Branch,"The process is very slow, it's been a while since we've been back, the savings account is open, we still need barangay clearance, like what? I am the one who will give and entrust you with our money and yet it seems like you are making it appear that you are still your customers without trust 😡 this is just the worst branch of BPI! …",1,2 years ago
BPI Caloocan Camarin Susano Branch,"It was so stressful. I was about to open a payroll account. A staff member asked me what the requirements were. So I told them what I had, then the NBI and Authorization for proof of billing were all I needed so I had to go home to get the …",1,4 years ago
BPI Caloocan Camarin Susano Branch,"Worst branch ever .. there is a manager but the manager knows we are complaining about the situation he was there next to us while we had a conversation then I found out from security that he is the manager, it's crazy,, not good customer service",1,a year ago
BPI Caloocan Camarin Susano Branch,Worst branch I've ever transacted. When you have to wait outside for 2 hrs. even though the lane for deposit is different from the special/other transactions lane. Waste of time. Not recommended for those who have a lot to do.,1,2 years ago
BPI Caloocan Camarin Susano Branch,Worst branch ever. Only one or two tellers are assisted. There is no point in people waiting. DON'T GO HERE IF YOU'RE IN A RUSH. WORST BRANCH!!!,1,a year ago
BPI Caloocan Camarin Susano Branch,3-4 hours in the queue for the open account.. There are only 1-2 persons at the counter even though there are many customers,1,a year ago
BPI Caloocan Camarin Susano Branch,"I WENT TO OPEN A SAVINGS ACCOUNT, WHEN I ARRIVED THE GUARDS WERE ALREADY Screaming, I ARRIVED BEFORE 11am THE LINE WAS VERY LONG AND THEY DIDN'T EVEN GIVE YOU A # TO KNOW WHO WAS NEXT, AT 2pm IT'S MY TURN I WAITED FOR 3HRS, WHEN I WAS AT …",1,a year ago
BPI Caloocan Camarin Susano Branch,"The priority lane and their normal lane outside are separate but the same lane when you go inside, what's the point of you giving the priority lane. I almost fainted in line because my pregnancy was delicate, if my mother hadn't gasped, I …",1,3 years ago
BPI Caloocan Camarin Susano Branch,"It's so worthless. I didn't get anything. What they're asking for is worthless. Manager, don't come here. Don't come here. Worst bank experience. I've wasted 5 hours waiting. This is the worst branch. If only I could have a half star in …",1,2 years ago
BPI Caloocan Camarin Susano Branch,"Their service here is worthless, don't ever open an acct at their branch. The process to extend takes too long, even their staff and emloyees are very slow. I hope BSP reviews this BPI branch in Camarin",1,3 years ago
BPI Caloocan Camarin Susano Branch,I have been a client of bpi here in this branch for a long time.. and I am happy that this is a trusted bank even though their services are poor.. I am very disappointed in my encounter with them.. I politely asked with PO and the only …,2,2 years ago
BPI Caloocan Camarin Susano Branch,"THE SERVICE IS SO LONG! I'VE BEEN WAITING IN LINE FOR FOUR HOURS. TWO HOURS OUTSIDE, TWO HOURS INSIDE! TAKE ACTION ON YOUR SYSTEM! IT'S NOT BETTER. BPI CALOOCAN-CAMARIN IS AWFUL, THE WORST BANK EVER!!!! I JUST CAME FROM WORK AT 10:30AM AND I'VE BEEN IN LINE AT 2PM AND I STILL HAVEN'T BEEN ASSISTED!!!!",1,2 years ago
BPI Caloocan Camarin Susano Branch,"The service is ugly. Minimum 3 hours waiting time. If you intend to go here, don't continue.",1,a year ago
BPI Caloocan Camarin Susano Branch,"The service is very slow, even if you are in the priority lane, it is useless. You will eat this bank all day.",1,a year ago
BPI Caloocan Camarin Susano Branch,"Poor service.
Very slow.
Cash deposit only will take 3 hours.",1,a year ago
BPI Caloocan Camarin Susano Branch,"Well, the queue was long when I arrived and I didn't know where the customer service was. The old manager approaches those people in line to ask what it is and then he also processes.",5,6 years ago
BPI Caloocan Camarin Susano Branch,"Probably the worst bank.
If you need to open a BPI account, don't go here. It would take you the whole day to open an account",1,3 years ago
BPI Caloocan Camarin Susano Branch,"Waste of time, slow service, lack of tellers. Suggest to put up BPI Deposit Machine.",1,2 years ago
BPI Caloocan Camarin Susano Branch,You know the feeling when you apply for a license at the LTO but you have air conditioning and they are so slow,1,a year ago
BPI Caloocan Camarin Susano Branch,Slow service. No consideration for cancer patients. Queue outside and warm up. Guards are not cooperative must explain thoughfully to be understood.,1,4 years ago
BPI Caloocan Camarin Susano Branch,Terrible from 1pm to 5 pm waiting. Length of the queue is pointless. There is no consideration here. Just find another bank guys,1,3 years ago
BPI Caloocan Camarin Susano Branch,"The transaction is so slow, it takes up to 3 hours before you can transact.",1,11 months ago
BPI Caloocan Camarin Susano Branch,"Your staff are not friendly, there is a long line outside just to talk to the guards, if you look up you think they are customers 😠😠😠 …",1,4 years ago
BPI Caloocan Camarin Susano Branch,It's really bad that you will give up on the duration of each transaction at this branch. Worst branch ever,1,2 years ago
BPI Caloocan Camarin Susano Branch,there were a lot of people and then there were only two tellers mygad. mag 2024 there is still no change in the system,1,a year ago
BPI Caloocan Camarin Susano Branch,"THE EMPLOYEES HERE ARE EXTREMELY AWESOME, especially their guards every time there are a lot of customers.. Poor service!!!!!",1,4 years ago
BPI Caloocan Camarin Susano Branch,"Their tellers are so slow, you idiots, only one is fast. This branch is hopeless. Close it.",1,6 years ago
BPI Caloocan Camarin Susano Branch,"If you're in a hurry, don't come here! It's too slow. THEY MOVE TOO SLOWLY! You'll just be inconvenienced.",1,a year ago
BPI Caloocan Camarin Susano Branch,"The transaction is very slow, and it's very difficult to open an account, especially a payroll account.",1,3 years ago
BPI Caloocan Camarin Susano Branch,"Trasaction is extremely slow, almost 2-3hrs before being assisted.",1,2 years ago
BPI Caloocan Camarin Susano Branch,Can't call the number they put in google info,1,a year ago
BPI Caloocan Camarin Susano Branch,It's very slow waiting outside in the heat while they have air conditioning,1,4 years ago
BPI Caloocan Camarin Susano Branch,ROTTEN SYSTEM VERY SLOW!!,1,a year ago
BPI Caloocan Camarin Susano Branch,The guard answered rudely and the line was very long..,1,7 years ago
BPI Caloocan Camarin Susano Branch,the slow one,1,a year ago
BPI Caloocan Camarin Susano Branch,Will you open this way?,2,5 years ago
BPI Caloocan Camarin Susano Branch,Kupad,1,7 years ago
BPI Caloocan Camarin Susano Branch,,1,Edited a week ago
BPI Caloocan Camarin Susano Branch,,5,4 months ago
BPI Caloocan Camarin Susano Branch,,4,5 months ago
BPI Caloocan Camarin Susano Branch,,5,5 months ago
BPI Caloocan Camarin Susano Branch,,5,6 months ago
BPI Caloocan Camarin Susano Branch,,5,8 months ago
BPI Caloocan Camarin Susano Branch,,5,a year ago
BPI Caloocan Camarin Susano Branch,,1,a year ago
BPI Caloocan Camarin Susano Branch,,1,a year ago
BPI Caloocan Camarin Susano Branch,,1,a year ago
BPI Caloocan Camarin Susano Branch,,1,a year ago
BPI Caloocan Camarin Susano Branch,,5,a year ago
BPI Caloocan Camarin Susano Branch,,4,a year ago
BPI Caloocan Camarin Susano Branch,,1,2 years ago
BPI Caloocan Camarin Susano Branch,,5,2 years ago
BPI Caloocan Camarin Susano Branch,,5,3 years ago
BPI Caloocan Camarin Susano Branch,,1,3 years ago
BPI Caloocan Camarin Susano Branch,,1,3 years ago
BPI Caloocan Camarin Susano Branch,,1,4 years ago
BPI Caloocan Camarin Susano Branch,,1,4 years ago
BPI Caloocan Camarin Susano Branch,,1,4 years ago
BPI Caloocan Camarin Susano Branch,,5,5 years ago
BPI Caloocan Camarin Susano Branch,,5,5 years ago
BPI Caloocan Camarin Susano Branch,,1,5 years ago
BPI Caloocan Camarin Susano Branch,,1,5 years ago
BPI Caloocan Camarin Susano Branch,,5,6 years ago
BPI Caloocan Camarin Susano Branch,,3,6 years ago
BPI Caloocan Camarin Susano Branch,,1,7 years ago
BPI EDSA Monumento,"Grabe! Soooooper tagal! I went to this bank to report my unprocessed withdrawal from their atm machine. Immediately inquired on the stationed guard outside and gave me the number N18 timed at 9:21am. As I went inside, the two counters for …",1,4 years ago
BPI EDSA Monumento,No one answer their fone indicated here in google.,2,2 weeks ago
BPI EDSA Monumento,This branch is listed in one of the banks open during saturdays and yet when I get there its closed Ugh! please dont put anything that is not consistent or not so reliable ... my time is wasted and for long drive just to get there !!!ugh !!!,1,6 years ago
BPI EDSA Monumento,,5,4 years ago
BPI EDSA Monumento,,5,5 years ago
BPI EDSA Monumento,,5,6 years ago
BPI EDSA Balintawak Branch,"Their CASH DEPOSIT machine is always working unlike in Ayala Cloverleaf branch which is ALWAYS NOT WORKING, HARDWARE ERROR ETC!!
Also the employee by the name of Mr. George is kind, accommodating and helpful.",3,6 years ago
BPI EDSA Balintawak Branch,"Has ATM CASH DEPOSIT with ""working"" CARDLESS option, unlike BPI AYALA it doesn't work, always saying Hardware error.",3,6 years ago
BPI EDSA Balintawak Branch,"The teller was very slow, it took us 3hrs. They prioritize when the customer is known or has a big account. Grabee..I think this is the only branch that is very tired as if it is tired..🥺😒😖 …",1,3 years ago
BPI EDSA Balintawak Branch,Don't stay at this bank. They are very strict. Even though I have a mask and faceshield on. They still let me in because they want n95 masks.,1,3 years ago
BPI EDSA Balintawak Branch,it always takes a long time. more than an hour wait just to withdraw. The employees are nice though.,1,5 years ago
BPI EDSA Balintawak Branch,"The guard is power tripping, I'm going to create an account, they won't let me in because they say it's closing, even though I was there at 2:25",1,4 years ago
BPI EDSA Balintawak Branch,,1,3 years ago
BPI EDSA Balintawak Branch,,1,3 years ago
BPI EDSA Balintawak Branch,,1,3 years ago
BPI EDSA Balintawak Branch,,1,4 years ago
BPI Grace Park 11Th Ave Branch,"For deposit only, 1hour - 13 minutes ...
Super slow service experienced...",1,a week ago
BPI Grace Park 11Th Ave Branch,HORRIBLE EXPERIENCE FOR THIS BANK AND THE STAFF ON CREDIT CARDS WITHOUT EDUCATING CHARGES AND ALSO IN COMPLETE INFORMATION PROVIDED FOR THE SAKE OF THEIR SALES. PLEASE BE AWARE.,1,a year ago
BPI Grace Park 11Th Ave Branch,1hour and 30mins counting and the queue hasnt moved. Best service(sarcasm),1,6 years ago
BPI Grace Park 11Th Ave Branch,Slow service. Unapproachable staffs.,2,6 years ago
BPI Grace Park 11Th Ave Branch,Future needs,4,8 years ago
BPI Grace Park 11Th Ave Branch,Very slow service,1,2 years ago
BPI Grace Park 11Th Ave Branch,Unapproachable staffs,1,5 years ago
BPI Grace Park 11Th Ave Branch,Same as other BRANCH,5,5 years ago
BPI Grace Park 11Th Ave Branch,"Super duper very slow service, it seems like this branch doesn't want to accept withdrawals.",1,5 days ago
BPI Grace Park 11Th Ave Branch,"You'll have to wait almost 1 hour for the deposit.
Then the number you got from the kiosk was ignored.
What's the matter? It's a duplicate???. …",1,a year ago
BPI Grace Park 11Th Ave Branch,I don't know why this bank has a low rating compared to unionbank 11th ave but I will give it a high rating because this bank understands their client's situation. I tried to open an account at its counterpart bank which is unionbank but …,5,2 years ago
BPI Grace Park 11Th Ave Branch,"The slowest branch of BPI. There is a number that is not being used. Then the officers don't know how to assist the staff. They can see that the service is slow, but they don't help the staff.",1,2 years ago
BPI Grace Park 11Th Ave Branch,super slow service. Then the staff knew the person next to her first. even if he is vip. there is a number. Your service is really good. super rotten,1,Edited 6 years ago
BPI Grace Park 11Th Ave Branch,"I just got my EMV card, and it turned out they gave it to me wrong?! It's such a hassle!!",1,5 years ago
BPI Grace Park 11Th Ave Branch,The service is very slow.,1,2 years ago
BPI Grace Park 11Th Ave Branch,,5,2 years ago
BPI Grace Park 11Th Ave Branch,,5,8 years ago
BPI Monumento Circle Branch,CAM machine ate my money and did not reflect on my account! Good thing I only inserted 500 pesos.,1,8 months ago
BPI Monumento Circle Branch,"Cheap hotel and good People, room is clean and the staffs are accomodating.",4,7 years ago
BPI Monumento Circle Branch,A strategic location for a bank branch.,4,6 years ago
BPI Monumento Circle Branch,good service,1,a year ago
BPI Monumento Circle Branch,"It's hard to open a payroll account, the service is slow, even though there are no queues, you have already provided 2 valid IDs and an endorsement letter and a brgy clearance xerox. Because the original has already been submitted to the …",1,Edited a year ago
BPI Monumento Circle Branch,It was open but when I went there it was closed. Nice.,2,5 years ago
BPI Monumento Circle Branch,,5,4 years ago
BPI Monumento Circle Branch,,5,5 years ago
BPI Monumento Circle Branch,,5,5 years ago
BPI Monumento Circle Branch,,5,6 years ago
BPI Monumento Circle Branch,,1,8 years ago
BPI Monumento Branch,i had experience this branch it so really bad and horable service. we dont know what happening inside the customer service more talking the other table or counter and more walking in the whole way same a ms universe or pa cute..,1,5 months ago
BPI Monumento Branch,"We were encashing a check, and I understand that verification with the account holder is necessary. Once it was verified through a call, they still didn’t believe it. One teller even said, ""How can we be sure it’s really [toot toot]?"" …",1,8 months ago
BPI Monumento Branch,Safe few clients open 24/7,4,8 years ago
BPI Monumento Branch,Very Slow Customer Service. It took me almost 1 hr to call my number and took another hour to verify my signature/ account as the signatory card is down.,1,a year ago
BPI Monumento Branch,Automatic teller machine for customer sequence service. 4-5 tellers always open to serve customers. No too much time wasted,5,7 years ago
BPI Monumento Branch,this bank is just a few steps away from me and i have been their client since 2010 but when i applied for a checking account last 2016 i was rejected for having a confidential policy but when i applied to their other branch in monumento circle i was approved even if i dont have account there.,2,8 years ago
BPI Monumento Branch,"There are 3 tellers, one for preferred customers, 2 for ordinary customer. Seniora cut in on the 2 tellers. Waiting time over 1 hour to make a deposit. This branch suck!!!!",1,6 years ago
BPI Monumento Branch,Slow customer service,1,6 months ago
BPI Monumento Branch,spacious inside / few clients,4,8 years ago
BPI Monumento Branch,Takes a long time to transact.,2,8 years ago
BPI Monumento Branch,Located at Samson Road Caloocan City its along the road,5,4 years ago
BPI Monumento Branch,Thumbs up,4,8 years ago
BPI Monumento Branch,Thank u,5,7 years ago
BPI Monumento Branch,"Long line, long wait.",2,9 years ago
