record_type,id,branch_name,city,customer_id,date,rating,comment,tags,sentiment,overall_sentiment,branch_sentiment,overall_score,total_reviews,positive_feedback,neutral_feedback,negative_feedback,top_performer_branch,top_performer_score,needs_improvement_branch,needs_improvement_score,city_score,month,monthly_score
review,14.0,BPI Corinthian Plaza Branch,Bpi,#N014,2025-08-06,80.0,"Best bank, not in my lifetime. They're marked as a Western Union location. I took a ticket and waited patiently, only to discover after speaking with lady behind the counter, I need another number and...",Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,15.0,BPI Corinthian Plaza Branch,Bpi,#N015,2025-08-16,76.0,"All mobile numbers are not inservice.
Landlines are not attended. Keeps on ringing.",Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,16.0,BPI Corinthian Plaza Branch,Bpi,#N016,2025-08-11,74.0,love that this branch has parking and bank tellers are very efficient.,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,17.0,BPI Corinthian Plaza Branch,Bpi,#N017,2025-07-26,79.0,"All phone numbers cannot be reached.
Recent mobile numbers cannot be reached.
What is happening?",Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,18.0,BPI Corinthian Plaza Branch,Bpi,#N018,2025-08-05,70.0,Accommodating bank tellers.,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,19.0,BPI Corinthian Plaza Branch,Bpi,#N019,2025-08-04,23.0,"no parking area,👎👎👎 …",Issues,Negative,Neutral,Positive,,,,,,,,,,,,
review,20.0,BPI Corinthian Plaza Branch,Bpi,#N020,2025-07-30,70.0,No review text provided,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,21.0,BPI Corinthian Plaza Branch,Bpi,#N021,2025-08-05,84.0,No review text provided,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,22.0,BPI Corinthian Plaza Branch,Bpi,#N022,2025-08-01,80.0,No review text provided,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,23.0,BPI Corinthian Plaza Branch,Bpi,#N023,2025-08-10,88.0,No review text provided,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,24.0,BPI Corinthian Plaza Branch,Bpi,#N024,2025-08-19,70.0,No review text provided,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,25.0,BPI Corinthian Plaza Branch,Bpi,#N025,2025-08-18,70.0,No review text provided,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,26.0,BPI Corinthian Plaza Branch,Bpi,#N026,2025-08-07,28.0,No review text provided,Issues,Negative,Neutral,Positive,,,,,,,,,,,,
review,27.0,BPI Corinthian Plaza Branch,Bpi,#N027,2025-07-31,89.0,No review text provided,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,28.0,BPI C3 A. Mabini Branch,Bpi,#N028,2025-08-05,88.0,"If I can give zero, I would have done it. Very bad experience with these branch. I opened a secured CC. After 2 months, no updates from them. They hold out my money with no interest.",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,29.0,BPI C3 A. Mabini Branch,Bpi,#N029,2025-08-21,78.0,"Nice People, accomodating Security guards very friendly and best bancassurance staff ever. Tellers has fastest transaction and customer service help solved my banking problems accurately and BM is ver...","Fast Service, Professional Staff",Positive,Neutral,Neutral,,,,,,,,,,,,
review,30.0,BPI C3 A. Mabini Branch,Bpi,#N030,2025-07-28,28.0,"I was put on the long queue of new accounts even my transaction was only to redeem my card. Worst, I came first in line but the guard on duty gave queue numbers to the ladies (adding up +3 new account...","Long Wait Time, Poor Service",Negative,Neutral,Neutral,,,,,,,,,,,,
review,31.0,BPI C3 A. Mabini Branch,Bpi,#N031,2025-08-15,80.0,"SLOW QUEUEING, WASTED A LOT OF TIME. WORST",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,32.0,BPI C3 A. Mabini Branch,Bpi,#N032,2025-08-17,43.0,Walang lane for senior and pwd,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,33.0,BPI C3 A. Mabini Branch,Bpi,#N033,2025-08-04,26.0,Up,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,34.0,BPI C3 A. Mabini Branch,Bpi,#N034,2025-08-13,81.0,"Poor customer service, they are still out so they didn't process the report

We arrived around 3 pm to report my girlfriend's BPI to Gcash issue because BPI …",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,35.0,BPI C3 A. Mabini Branch,Bpi,#N035,2025-08-16,74.0,"You guys are so unprofessional at BPI Maypajo. You close at 5pm, my sister is here at 4:30 to reopen her account but you won't let her in! You're lazy!!! I'm calling you, just hang up on me!!! I'll be...","Fast Service, Professional Staff",Positive,Neutral,Neutral,,,,,,,,,,,,
review,36.0,BPI C3 A. Mabini Branch,Bpi,#N036,2025-08-03,37.0,Today I had a very bad experience at Bpi C3 branch. The guard on duty is not so helpful and cooperative even the staff on that branch. Bad service. Just follow the number you give and you won't have t...,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,37.0,BPI C3 A. Mabini Branch,Bpi,#N037,2025-08-04,73.0,"The customer service is unprofessional, I just inquired to settle my credit card account, without my consent they deducted my minimum due on the card, without even a notice or letter. …","Fast Service, Professional Staff",Positive,Neutral,Neutral,,,,,,,,,,,,
review,38.0,BPI C3 A. Mabini Branch,Bpi,#N038,2025-08-18,73.0,Worst experience at the bank. Refused twice. Even the guard doesn't want to assist you.,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,39.0,BPI C3 A. Mabini Branch,Bpi,#N039,2025-08-11,77.0,The best! C3LICIOUS the beauty and the handsomeness of the staff. Also kind and helpful. You will not be left behind.,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,40.0,BPI C3 A. Mabini Branch,Bpi,#N040,2025-08-19,71.0,"Move slowly, you bastards.",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,41.0,BPI C3 A. Mabini Branch,Bpi,#N041,2025-08-02,20.0,The atm machine is often offline,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,42.0,BPI C3 A. Mabini Branch,Bpi,#N042,2025-07-25,39.0,No review text provided,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,43.0,BPI C3 A. Mabini Branch,Bpi,#N043,2025-08-04,72.0,No review text provided,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,44.0,BPI C3 A. Mabini Branch,Bpi,#N044,2025-08-14,71.0,No review text provided,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,45.0,BPI C3 A. Mabini Branch,Bpi,#N045,2025-08-01,30.0,No review text provided,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,46.0,BPI C3 A. Mabini Branch,Bpi,#N046,2025-08-02,25.0,No review text provided,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,47.0,BPI C3 A. Mabini Branch,Bpi,#N047,2025-07-29,28.0,No review text provided,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,48.0,BPI C3 A. Mabini Branch,Bpi,#N048,2025-08-01,30.0,No review text provided,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,49.0,BPI C3 A. Mabini Branch,Bpi,#N049,2025-08-02,22.0,No review text provided,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,50.0,BPI C3 A. Mabini Branch,Bpi,#N050,2025-08-04,85.0,No review text provided,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,51.0,BPI C3 A. Mabini Branch,Bpi,#N051,2025-08-15,45.0,No review text provided,Average Experience,Neutral,Neutral,Neutral,,,,,,,,,,,,
review,52.0,BPI Caloocan Branch,Caloocan,#N052,2025-08-02,73.0,Fake location in google map,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,53.0,BPI Caloocan Branch,Caloocan,#N053,2025-08-19,92.0,Kinda small for a busy branch,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,54.0,BPI Caloocan Branch,Caloocan,#N054,2025-08-21,71.0,"Bankong Pangmayaman ATM withdrawal minimum 1,000. I have reported to BSP. Rotten",Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,55.0,BPI Caloocan Branch,Caloocan,#N055,2025-08-06,62.0,It takes a while to process. Their number is not being followed yet.,Average Experience,Neutral,Neutral,Positive,,,,,,,,,,,,
review,56.0,BPI Caloocan Branch,Caloocan,#N056,2025-07-29,76.0,No review text provided,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,57.0,BPI Caloocan Branch,Caloocan,#N057,2025-08-14,20.0,No review text provided,Issues,Negative,Neutral,Positive,,,,,,,,,,,,
review,58.0,BPI Caloocan Branch,Caloocan,#N058,2025-08-07,80.0,No review text provided,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,59.0,BPI Caloocan Branch,Caloocan,#N059,2025-08-02,74.0,No review text provided,Good Experience,Positive,Neutral,Positive,,,,,,,,,,,,
review,60.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N060,2025-08-03,33.0,"Advice to future clients, opt for a different branch. The customer service here is the worst. The queue takes forever. Not an inch of urgency for simple requests like bank certificate and claiming a c...",Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,61.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N061,2025-08-16,83.0,"Very poor service — this is the worst banking experience I’ve ever had. Depositing money takes an incredibly long time. It feels like forever! They have three windows, but only one or two are actually...",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,62.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N062,2025-08-19,82.0,"UPDATE: As of August 24, 2021
Visited today this branch, they already have second floor and 3 counters are available for deposits alone, which makes your visits and transactions faster than …","Fast Service, Professional Staff",Positive,Neutral,Neutral,,,,,,,,,,,,
review,63.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N063,2025-08-08,21.0,"I had an awful experience at BPI Almar. The waiting time was unbelievably long, even though there were only a few people ahead of me. The staff seemed disorganized and moved at a frustratingly slow pa...","Long Wait Time, Poor Service",Negative,Neutral,Neutral,,,,,,,,,,,,
review,64.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N064,2025-07-26,23.0,Just went to open an account but never got assisted. Waited for 4 hours but the teller said my number was already called and advised to get another number. I didn't even move from my sit and always lo...,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,65.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N065,2025-08-07,77.0,Poor service. It will take you more than 3hrs to transact. Been transacting here for a months now and still no improvement. No specific teller for Priority and the ones with coins transaction. Trash s...,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,66.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N066,2025-08-08,26.0,Super slow service. It took us around 2 hrs to withdraw since the atm is not working. Employees are not efficient enough to handle the long queue.,"Long Wait Time, Poor Service",Negative,Neutral,Neutral,,,,,,,,,,,,
review,67.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N067,2025-08-02,92.0,If there is an option to rate this zero I would. The wait time is not acceptable,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,68.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N068,2025-08-08,26.0,"Poor customer management & time consuming to transact especially the counter for opening/closing accounts. You need to have a lot of patience to wait. I waited for 4 hours, very poor service regarding...","Long Wait Time, Poor Service",Negative,Neutral,Neutral,,,,,,,,,,,,
review,69.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N069,2025-08-06,81.0,Will definitely not recommend. Super slow service. A lot of clients but they only have 1 teller. It took hours before your number gets called.,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,70.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N070,2025-08-09,39.0,Not following the MECQ rules. They don't allow employees with COE and ID to enter. …,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,71.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N071,2025-08-07,91.0,"too slow to accommodate clients,no order. not even a kiosk so we can choose transactions. inefficient,poor customer service. just requesting for bank cert and yet am out in the sun waiting in line for...",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,72.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N072,2025-07-25,30.0,"I opened a savings account years ago and opened a checking acct last year. It was a PERSONAL account and not for my biz. This year, they have been asking me to send my mayors permit, which I was, at t...",Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,73.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N073,2025-08-04,71.0,"Waited for more than 3 hours, understaffed. So disappointing

Are you even trying? …",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,74.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N074,2025-08-10,77.0,Worst bpi branch. Just went there to claim debit. The line is not too long but the service is really slow due to understaffed. They could accomodate 1 person every 20-30 minutes while the other staff ...,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,75.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N075,2025-07-30,27.0,At this moment I encountered lot of problems and malfunction on this branch. Only one machine is running that makes the line longer. I hope this will be solved after this pandemic.,"Long Wait Time, Poor Service",Negative,Neutral,Neutral,,,,,,,,,,,,
review,76.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N076,2025-07-27,91.0,"Worst banking experience. Very slow. They were always offline, reason is only 1 officer available. My concern was just changing my contact number, I tried to go the other day, same reason! BPI Camarin...",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,77.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N077,2025-08-13,80.0,"Worst banking experience. You have to wait for atleast 3 hours just to open an account. Waste of time. And, they often assist clients who have just arrived! I don't get it why they give queue when the...",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,78.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N078,2025-08-01,93.0,"Kudos to Miss Mae Acosta for helping me opening my payroll account regardless of how tired she is, Still remain calm and have patience while assisting all clients including me. Di na sya nakapag lunch...",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,79.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N079,2025-07-29,32.0,Always packed and only 2 lines open for deposit/withdraw/pay transactions. Takes up 30 minutes minimum to get what you came for. Opening an account here takes double time and only few seats are availa...,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,80.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N080,2025-07-25,94.0,"If there is a zero, I will rate it as zero, not even 1 star! Lack of tellers! Very slow service! If you want to waste your time, go to this branch! The worst!",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,81.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N081,2025-07-31,39.0,"Yes. It doesn't matter if you go there early,  they will prioritize who they want and ALL their employees are unhelpful even the MANAGER. This branch has the poorest quality service I have encouraged ...","Long Wait Time, Poor Service",Negative,Neutral,Neutral,,,,,,,,,,,,
review,82.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N082,2025-07-31,21.0,At least spare 2-3 hour of your time for any transaction before they accomodate you due to short of staff. 1 one teller on a 3 teller slots.,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,83.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N083,2025-07-26,24.0,"This BPI branch is not operating during quarantine time of course the machine is working, my father's atm card was stocked inside the atm machine for more than 1 month we can't make any report regardi...",Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,84.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N084,2025-08-12,33.0,"sent my brother to open an account, with specific account pero ang daming alam nung customer service iba ang ini-explain sa ini-inquire, and saddest part they’re not familiar to their products which i...",Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,85.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N085,2025-08-12,83.0,Slowest transaction ever never recommend to open account here and to withdraw / deposit,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,86.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N086,2025-08-05,20.0,Poor service! You'll need to bring a lot of patience and expect that you'll wait for 4hrs just to be  served!,"Long Wait Time, Poor Service",Negative,Neutral,Neutral,,,,,,,,,,,,
review,87.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N087,2025-07-25,71.0,Hello there  pls rate the serviced of this branch because I want to transact to this branch or I will change to another bank I saw many reviews that this is the worst branch is this true or not I'll t...,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,88.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N088,2025-08-03,25.0,Very Limited staff if you are in a hurry this branch is not for you. You might as well go to malls because the line is very long most of the times.,"Long Wait Time, Poor Service",Negative,Neutral,Neutral,,,,,,,,,,,,
review,89.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N089,2025-08-01,86.0,Very poor customer service. It's been years and their service is just the worst. Napakabagal. I had to take a leave from work just to visit and transact with this branch.,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,90.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N090,2025-08-17,84.0,"Super slow, very slow and ultra slow, so slow service worst bpi branch",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,91.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N091,2025-07-29,90.0,"Worst BPI Branch ever - The queue is always packed here. Don't bother visiting this branch, and heck don't even bother opening an account with BPI 😡 …",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,92.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N092,2025-08-10,20.0,Super slow service!,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,93.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N093,2025-08-15,70.0,Their customer service is terrible. Slow and painful process when opening an account. They don't deserve even 1 star.,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,94.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N094,2025-08-06,41.0,"Waited for 4 hours
Understaffed×Not Accomodating",Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,95.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N095,2025-08-17,33.0,Super slow super mega slow super ulra slow service.,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,96.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N096,2025-07-30,28.0,The queue or people's line is always long here :-(,"Long Wait Time, Poor Service",Negative,Neutral,Neutral,,,,,,,,,,,,
review,97.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N097,2025-08-12,21.0,Branch does not seem to answer the phone.,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,98.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N098,2025-08-02,93.0,Easy Access in terms of ATM Withdrawals,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,99.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N099,2025-07-31,82.0,It so nice,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,100.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N100,2025-08-03,81.0,Parking space is always full...,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,101.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N101,2025-07-31,39.0,Slowest BPI Transactions!,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,102.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N102,2025-08-06,76.0,Nice bank,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,103.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N103,2025-08-16,40.0,Understaffed.,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,104.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N104,2025-08-03,74.0,Nice,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,105.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N105,2025-07-27,85.0,Worst branch of BPI.,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,106.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N106,2025-08-14,31.0,its close until further notice,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,107.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N107,2025-07-27,39.0,Slow service.,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,108.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N108,2025-08-16,91.0,Slow and poor service!!!,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,109.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N109,2025-07-31,73.0,not answering my call,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,110.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N110,2025-08-18,85.0,Very poor service!!! It's very slow.. anyone can address this issue to speed up the service of this branch. Very waste of time! Hussle can't see your staff!!!,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,111.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N111,2025-08-03,26.0,"IF THERE ARE ZERO OR NEGATIVE STARS, THAT'S WHAT I'LL CHOOSE. IT'S TOO LONG! 3 HOURS MINIMUM FOR A SIMPLE CS TRANSACTION.","Long Wait Time, Poor Service",Negative,Neutral,Neutral,,,,,,,,,,,,
review,112.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N112,2025-08-14,28.0,"Slowest branch I've ever been to. I've been here since 1pm and I'm still here today. (2 hours at least). There were only a few people at first and as time went on, more and more people came, but only ...",Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,113.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N113,2025-08-21,44.0,Is the BPI Camarin branch open now?,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,114.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N114,2025-07-28,34.0,"The line is not too long but the service is really slow. They could accommodate 1 person every 30-40 minutes. When you go here, expect a 4-5 hour waiting time and be patient.","Long Wait Time, Poor Service",Negative,Neutral,Neutral,,,,,,,,,,,,
review,115.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N115,2025-07-31,31.0,Bpi please change your staff downstairs and act so slowly I only arrived 3 of us then my number jumped to 46 then I got 24 then you just say offline the first one arrived,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,116.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N116,2025-08-19,21.0,"Very impolite customer service her name is BEA. It's good that their guards said good morning, I said good morning to him. Very unfriendly. I also have accounts with other banks like bdo and metro ban...",Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,117.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N117,2025-08-05,21.0,Bring a pillow and blanket. There is forever at BPI Camarin branch 😆 2 hours is not enough. GOODLUCK! I hope the complaints about this branch reach the management. …,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,118.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N118,2025-08-08,87.0,"The bank opening process was very slow, it took me 6 hours to wait for my turn. bad branch! they prioritize only those they know, even though I came to their ""friends"" earlier! very poor customer serv...",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,119.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N119,2025-08-10,27.0,"1hr +++ per transaction for deposit, waste of time. It's okay if there's a long queue, but if it's been 1hr 30mins and the queue still isn't moving, then there must be a problem. The guard said there'...","Long Wait Time, Poor Service",Negative,Neutral,Neutral,,,,,,,,,,,,
review,120.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N120,2025-08-17,84.0,"This branch is so amazing. Before I got in line, they asked for all the IDs I had and they gave me a number, I thought it was okay. Then after 4 hours of waiting, they tell you that the IDs you have a...",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,121.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N121,2025-08-04,94.0,"The process is very slow, it's been a while since we've been back, the savings account is open, we still need barangay clearance, like what? I am the one who will give and entrust you with our money a...",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,122.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N122,2025-07-31,25.0,"It was so stressful. I was about to open a payroll account. A staff member asked me what the requirements were. So I told them what I had, then the NBI and Authorization for proof of billing were all ...",Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,123.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N123,2025-07-28,88.0,Worst branch ever .. there is a manager but the manager knows we are complaining about the situation he was there next to us while we had a conversation then I found out from security that he is the m...,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,124.0,BPI Caloocan Camarin Susano Branch,Caloocan,#N124,2025-08-20,90.0,Worst branch I've ever transacted. When you have to wait outside for 2 hrs. even though the lane for deposit is different from the special/other transactions lane. Waste of time. Not recommended for t...,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
