branch_name,review_text,star_rating,date,cleaned_text,bert_sentiment,rating_sentiment,bert_sentiment_analysis,rating_based_sentiment,branch_overall_sentiment,dataset_overall_sentiment
BPI Morayta-FEU Branch,No review text provided,1,6 years ago,no review text provided,Negative,Negative,Negative,Negative,Positive,Positive
BPI Morayta-FEU Branch,No review text provided,4,7 years ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI Morayta-FEU Branch,No review text provided,5,7 years ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI Corinthian Plaza Branch,"Best bank, not in my lifetime. They're marked as a Western Union location. I took a ticket and waited patiently, only to discover after speaking with lady behind the counter, I need another number and wait in line for customer service. …",1,2 years ago,"best bank, not in my lifetime. theyre marked as a western union location. i took a ticket and waited patiently, only to discover after speaking with lady behind the counter, i need another number and wait in line for customer service. ",Positive,Negative,Positive,Negative,Positive,Positive
BPI Corinthian Plaza Branch,"All mobile numbers are not inservice.
Landlines are not attended. Keeps on ringing.",1,3 years ago,all mobile numbers are not inservice. landlines are not attended. keeps on ringing.,Positive,Negative,Positive,Negative,Positive,Positive
BPI Corinthian Plaza Branch,love that this branch has parking and bank tellers are very efficient.,5,2 years ago,love that this branch has parking and bank tellers are very efficient.,Positive,Positive,Positive,Positive,Positive,Positive
BPI Corinthian Plaza Branch,"All phone numbers cannot be reached.
Recent mobile numbers cannot be reached.
What is happening?",1,4 years ago,all phone numbers cannot be reached. recent mobile numbers cannot be reached. what is happening?,Positive,Negative,Positive,Negative,Positive,Positive
BPI Corinthian Plaza Branch,Accommodating bank tellers.,5,7 years ago,accommodating bank tellers.,Positive,Positive,Positive,Positive,Positive,Positive
BPI Corinthian Plaza Branch,"no parking area,👎👎👎 …",1,2 years ago,"no parking area, ",Negative,Negative,Negative,Negative,Positive,Positive
BPI Corinthian Plaza Branch,No review text provided,5,6 months ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI Corinthian Plaza Branch,No review text provided,5,a year ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI Corinthian Plaza Branch,No review text provided,4,a year ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI Corinthian Plaza Branch,No review text provided,5,4 years ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI Corinthian Plaza Branch,No review text provided,5,5 years ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI Corinthian Plaza Branch,No review text provided,5,5 years ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI Corinthian Plaza Branch,No review text provided,1,6 years ago,no review text provided,Negative,Negative,Negative,Negative,Positive,Positive
BPI Corinthian Plaza Branch,No review text provided,5,7 years ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI C3 A. Mabini Branch,"If I can give zero, I would have done it. Very bad experience with these branch. I opened a secured CC. After 2 months, no updates from them. They hold out my money with no interest.",1,8 months ago,"if i can give zero, i would have done it. very bad experience with these branch. i opened a secured cc. after 2 months, no updates from them. they hold out my money with no interest.",Positive,Negative,Positive,Negative,Positive,Positive
BPI C3 A. Mabini Branch,"Nice People, accomodating Security guards very friendly and best bancassurance staff ever. Tellers has fastest transaction and customer service help solved my banking problems accurately and BM is very kind.",5,a year ago,"nice people, accomodating security guards very friendly and best bancassurance staff ever. tellers has fastest transaction and customer service help solved my banking problems accurately and bm is very kind.",Positive,Positive,Positive,Positive,Positive,Positive
BPI C3 A. Mabini Branch,"I was put on the long queue of new accounts even my transaction was only to redeem my card. Worst, I came first in line but the guard on duty gave queue numbers to the ladies (adding up +3 new accounts transaction) over me who just needed …",1,Edited 4 years ago,"i was put on the long queue of new accounts even my transaction was only to redeem my card. worst, i came first in line but the guard on duty gave queue numbers to the ladies adding up 3 new accounts transaction over me who just needed ",Negative,Negative,Negative,Negative,Positive,Positive
BPI C3 A. Mabini Branch,"SLOW QUEUEING, WASTED A LOT OF TIME. WORST",1,9 months ago,"slow queueing, wasted a lot of time. worst",Positive,Negative,Positive,Negative,Positive,Positive
BPI C3 A. Mabini Branch,Walang lane for senior and pwd,1,a year ago,walang lane for senior and pwd,Negative,Negative,Negative,Negative,Positive,Positive
BPI C3 A. Mabini Branch,Up,4,8 years ago,up,Negative,Positive,Negative,Positive,Positive,Positive
BPI C3 A. Mabini Branch,"Poor customer service, they are still out so they didn't process the report

We arrived around 3 pm to report my girlfriend's BPI to Gcash issue because BPI …",1,a year ago,"poor customer service, they are still out so they didnt process the report we arrived around 3 pm to report my girlfriends bpi to gcash issue because bpi ",Positive,Negative,Positive,Negative,Positive,Positive
BPI C3 A. Mabini Branch,"You guys are so unprofessional at BPI Maypajo. You close at 5pm, my sister is here at 4:30 to reopen her account but you won't let her in! You're lazy!!! I'm calling you, just hang up on me!!! I'll be seeing you guys soon!",1,5 years ago,"you guys are so unprofessional at bpi maypajo. you close at 5pm, my sister is here at 430 to reopen her account but you wont let her in! youre lazy!!! im calling you, just hang up on me!!! ill be seeing you guys soon!",Positive,Negative,Positive,Negative,Positive,Positive
BPI C3 A. Mabini Branch,Today I had a very bad experience at Bpi C3 branch. The guard on duty is not so helpful and cooperative even the staff on that branch. Bad service. Just follow the number you give and you won't have to wait 30 minutes and the last number that will arrive will come first.,1,a year ago,today i had a very bad experience at bpi c3 branch. the guard on duty is not so helpful and cooperative even the staff on that branch. bad service. just follow the number you give and you wont have to wait 30 minutes and the last number that will arrive will come first.,Negative,Negative,Negative,Negative,Positive,Positive
BPI C3 A. Mabini Branch,"The customer service is unprofessional, I just inquired to settle my credit card account, without my consent they deducted my minimum due on the card, without even a notice or letter. …",1,4 years ago,"the customer service is unprofessional, i just inquired to settle my credit card account, without my consent they deducted my minimum due on the card, without even a notice or letter. ",Positive,Negative,Positive,Negative,Positive,Positive
BPI C3 A. Mabini Branch,Worst experience at the bank. Refused twice. Even the guard doesn't want to assist you.,1,3 years ago,worst experience at the bank. refused twice. even the guard doesnt want to assist you.,Positive,Negative,Positive,Negative,Positive,Positive
BPI C3 A. Mabini Branch,The best! C3LICIOUS the beauty and the handsomeness of the staff. Also kind and helpful. You will not be left behind.,5,3 years ago,the best! c3licious the beauty and the handsomeness of the staff. also kind and helpful. you will not be left behind.,Positive,Positive,Positive,Positive,Positive,Positive
BPI C3 A. Mabini Branch,"Move slowly, you bastards.",1,6 months ago,"move slowly, you bastards.",Positive,Negative,Positive,Negative,Positive,Positive
BPI C3 A. Mabini Branch,The atm machine is often offline,4,8 years ago,the atm machine is often offline,Negative,Positive,Negative,Positive,Positive,Positive
BPI C3 A. Mabini Branch,No review text provided,1,8 months ago,no review text provided,Negative,Negative,Negative,Negative,Positive,Positive
BPI C3 A. Mabini Branch,No review text provided,5,a year ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI C3 A. Mabini Branch,No review text provided,5,a year ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI C3 A. Mabini Branch,No review text provided,1,2 years ago,no review text provided,Negative,Negative,Negative,Negative,Positive,Positive
BPI C3 A. Mabini Branch,No review text provided,1,4 years ago,no review text provided,Negative,Negative,Negative,Negative,Positive,Positive
BPI C3 A. Mabini Branch,No review text provided,1,4 years ago,no review text provided,Negative,Negative,Negative,Negative,Positive,Positive
BPI C3 A. Mabini Branch,No review text provided,1,5 years ago,no review text provided,Negative,Negative,Negative,Negative,Positive,Positive
BPI C3 A. Mabini Branch,No review text provided,1,5 years ago,no review text provided,Negative,Negative,Negative,Negative,Positive,Positive
BPI C3 A. Mabini Branch,No review text provided,4,6 years ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI C3 A. Mabini Branch,No review text provided,3,9 years ago,no review text provided,Neutral,Neutral,Neutral,Neutral,Positive,Positive
BPI Caloocan Branch,Fake location in google map,1,2 months ago,fake location in google map,Positive,Negative,Positive,Negative,Positive,Positive
BPI Caloocan Branch,Kinda small for a busy branch,3,Edited 8 years ago,kinda small for a busy branch,Positive,Neutral,Positive,Neutral,Positive,Positive
BPI Caloocan Branch,"Bankong Pangmayaman ATM withdrawal minimum 1,000. I have reported to BSP. Rotten",1,10 months ago,"bankong pangmayaman atm withdrawal minimum 1,000. i have reported to bsp. rotten",Positive,Negative,Positive,Negative,Positive,Positive
BPI Caloocan Branch,It takes a while to process. Their number is not being followed yet.,1,a year ago,it takes a while to process. their number is not being followed yet.,Neutral,Negative,Neutral,Negative,Positive,Positive
BPI Caloocan Branch,No review text provided,5,a year ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI Caloocan Branch,No review text provided,1,2 years ago,no review text provided,Negative,Negative,Negative,Negative,Positive,Positive
BPI Caloocan Branch,No review text provided,5,2 years ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI Caloocan Branch,No review text provided,5,2 years ago,no review text provided,Positive,Positive,Positive,Positive,Positive,Positive
BPI Caloocan Camarin Susano Branch,"Advice to future clients, opt for a different branch. The customer service here is the worst. The queue takes forever. Not an inch of urgency for simple requests like bank certificate and claiming a card replacement. It seems that the …",1,2 months ago,"advice to future clients, opt for a different branch. the customer service here is the worst. the queue takes forever. not an inch of urgency for simple requests like bank certificate and claiming a card replacement. it seems that the ",Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"Very poor service — this is the worst banking experience I’ve ever had. Depositing money takes an incredibly long time. It feels like forever! They have three windows, but only one or two are actually open, and those are shared between …",1,a month ago,"very poor service  this is the worst banking experience ive ever had. depositing money takes an incredibly long time. it feels like forever! they have three windows, but only one or two are actually open, and those are shared between ",Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"UPDATE: As of August 24, 2021
Visited today this branch, they already have second floor and 3 counters are available for deposits alone, which makes your visits and transactions faster than …",4,Edited 3 years ago,"update as of august 24, 2021 visited today this branch, they already have second floor and 3 counters are available for deposits alone, which makes your visits and transactions faster than ",Positive,Positive,Positive,Positive,Negative,Positive
BPI Caloocan Camarin Susano Branch,"I had an awful experience at BPI Almar. The waiting time was unbelievably long, even though there were only a few people ahead of me. The staff seemed disorganized and moved at a frustratingly slow pace, making even simple transactions take …",1,5 months ago,"i had an awful experience at bpi almar. the waiting time was unbelievably long, even though there were only a few people ahead of me. the staff seemed disorganized and moved at a frustratingly slow pace, making even simple transactions take ",Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Just went to open an account but never got assisted. Waited for 4 hours but the teller said my number was already called and advised to get another number. I didn't even move from my sit and always looking at the monitor for my number. I …,1,11 months ago,just went to open an account but never got assisted. waited for 4 hours but the teller said my number was already called and advised to get another number. i didnt even move from my sit and always looking at the monitor for my number. i ,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Poor service. It will take you more than 3hrs to transact. Been transacting here for a months now and still no improvement. No specific teller for Priority and the ones with coins transaction. Trash service! Not recommended. If it has negative stars I would rate it -100⭐️,1,11 months ago,poor service. it will take you more than 3hrs to transact. been transacting here for a months now and still no improvement. no specific teller for priority and the ones with coins transaction. trash service! not recommended. if it has negative stars i would rate it 100,Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Super slow service. It took us around 2 hrs to withdraw since the atm is not working. Employees are not efficient enough to handle the long queue.,1,7 months ago,super slow service. it took us around 2 hrs to withdraw since the atm is not working. employees are not efficient enough to handle the long queue.,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,If there is an option to rate this zero I would. The wait time is not acceptable,1,2 months ago,if there is an option to rate this zero i would. the wait time is not acceptable,Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"Poor customer management & time consuming to transact especially the counter for opening/closing accounts. You need to have a lot of patience to wait. I waited for 4 hours, very poor service regarding customer management. This is the …",1,2 years ago,"poor customer management  time consuming to transact especially the counter for openingclosing accounts. you need to have a lot of patience to wait. i waited for 4 hours, very poor service regarding customer management. this is the ",Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Will definitely not recommend. Super slow service. A lot of clients but they only have 1 teller. It took hours before your number gets called.,1,8 months ago,will definitely not recommend. super slow service. a lot of clients but they only have 1 teller. it took hours before your number gets called.,Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Not following the MECQ rules. They don't allow employees with COE and ID to enter. …,1,4 years ago,not following the mecq rules. they dont allow employees with coe and id to enter. ,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"too slow to accommodate clients,no order. not even a kiosk so we can choose transactions. inefficient,poor customer service. just requesting for bank cert and yet am out in the sun waiting in line for 2 hrs and counting. gonna close acct and transfer to other. with all these negative reviews, wala pa din aksyon.tsk worst bank ever",1,2 years ago,"too slow to accommodate clients,no order. not even a kiosk so we can choose transactions. inefficient,poor customer service. just requesting for bank cert and yet am out in the sun waiting in line for 2 hrs and counting. gonna close acct and transfer to other. with all these negative reviews, wala pa din aksyon.tsk worst bank ever",Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"I opened a savings account years ago and opened a checking acct last year. It was a PERSONAL account and not for my biz. This year, they have been asking me to send my mayors permit, which I was, at the time, renewing. I submitted it thru …",1,2 years ago,"i opened a savings account years ago and opened a checking acct last year. it was a personal account and not for my biz. this year, they have been asking me to send my mayors permit, which i was, at the time, renewing. i submitted it thru ",Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"Waited for more than 3 hours, understaffed. So disappointing

Are you even trying? …",1,a year ago,"waited for more than 3 hours, understaffed. so disappointing are you even trying? ",Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Worst bpi branch. Just went there to claim debit. The line is not too long but the service is really slow due to understaffed. They could accomodate 1 person every 20-30 minutes while the other staff had overlunch.,1,a year ago,worst bpi branch. just went there to claim debit. the line is not too long but the service is really slow due to understaffed. they could accomodate 1 person every 2030 minutes while the other staff had overlunch.,Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,At this moment I encountered lot of problems and malfunction on this branch. Only one machine is running that makes the line longer. I hope this will be solved after this pandemic.,4,Edited 4 years ago,at this moment i encountered lot of problems and malfunction on this branch. only one machine is running that makes the line longer. i hope this will be solved after this pandemic.,Negative,Positive,Negative,Positive,Negative,Positive
BPI Caloocan Camarin Susano Branch,"Worst banking experience. Very slow. They were always offline, reason is only 1 officer available. My concern was just changing my contact number, I tried to go the other day, same reason! BPI Camarin is the slowest ever!.",1,a year ago,"worst banking experience. very slow. they were always offline, reason is only 1 officer available. my concern was just changing my contact number, i tried to go the other day, same reason! bpi camarin is the slowest ever!.",Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"Worst banking experience. You have to wait for atleast 3 hours just to open an account. Waste of time. And, they often assist clients who have just arrived! I don't get it why they give queue when they don't follow it!",1,2 years ago,"worst banking experience. you have to wait for atleast 3 hours just to open an account. waste of time. and, they often assist clients who have just arrived! i dont get it why they give queue when they dont follow it!",Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"Kudos to Miss Mae Acosta for helping me opening my payroll account regardless of how tired she is, Still remain calm and have patience while assisting all clients including me. Di na sya nakapag lunch just to assist me because the Lady who …",5,2 years ago,"kudos to miss mae acosta for helping me opening my payroll account regardless of how tired she is, still remain calm and have patience while assisting all clients including me. di na sya nakapag lunch just to assist me because the lady who ",Positive,Positive,Positive,Positive,Negative,Positive
BPI Caloocan Camarin Susano Branch,Always packed and only 2 lines open for deposit/withdraw/pay transactions. Takes up 30 minutes minimum to get what you came for. Opening an account here takes double time and only few seats are available. Youre lucky if u get seated. Please improve your customer service hotline. I have inquiries and they dont even answer in mail.,1,5 years ago,always packed and only 2 lines open for depositwithdrawpay transactions. takes up 30 minutes minimum to get what you came for. opening an account here takes double time and only few seats are available. youre lucky if u get seated. please improve your customer service hotline. i have inquiries and they dont even answer in mail.,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"If there is a zero, I will rate it as zero, not even 1 star! Lack of tellers! Very slow service! If you want to waste your time, go to this branch! The worst!",1,a year ago,"if there is a zero, i will rate it as zero, not even 1 star! lack of tellers! very slow service! if you want to waste your time, go to this branch! the worst!",Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"Yes. It doesn't matter if you go there early,  they will prioritize who they want and ALL their employees are unhelpful even the MANAGER. This branch has the poorest quality service I have encouraged so far.",1,3 years ago,"yes. it doesnt matter if you go there early, they will prioritize who they want and all their employees are unhelpful even the manager. this branch has the poorest quality service i have encouraged so far.",Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,At least spare 2-3 hour of your time for any transaction before they accomodate you due to short of staff. 1 one teller on a 3 teller slots.,1,2 years ago,at least spare 23 hour of your time for any transaction before they accomodate you due to short of staff. 1 one teller on a 3 teller slots.,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"This BPI branch is not operating during quarantine time of course the machine is working, my father's atm card was stocked inside the atm machine for more than 1 month we can't make any report regarding this because the hotline and the …",3,5 years ago,"this bpi branch is not operating during quarantine time of course the machine is working, my fathers atm card was stocked inside the atm machine for more than 1 month we cant make any report regarding this because the hotline and the ",Negative,Neutral,Negative,Neutral,Negative,Positive
BPI Caloocan Camarin Susano Branch,"sent my brother to open an account, with specific account pero ang daming alam nung customer service iba ang ini-explain sa ini-inquire, and saddest part they’re not familiar to their products which is available thru website 😔 …",1,5 years ago,"sent my brother to open an account, with specific account pero ang daming alam nung customer service iba ang iniexplain sa iniinquire, and saddest part theyre not familiar to their products which is available thru website  ",Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Slowest transaction ever never recommend to open account here and to withdraw / deposit,1,11 months ago,slowest transaction ever never recommend to open account here and to withdraw  deposit,Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Poor service! You'll need to bring a lot of patience and expect that you'll wait for 4hrs just to be  served!,1,a year ago,poor service! youll need to bring a lot of patience and expect that youll wait for 4hrs just to be served!,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Hello there  pls rate the serviced of this branch because I want to transact to this branch or I will change to another bank I saw many reviews that this is the worst branch is this true or not I'll think before I'll deposit to this branch,1,2 years ago,hello there pls rate the serviced of this branch because i want to transact to this branch or i will change to another bank i saw many reviews that this is the worst branch is this true or not ill think before ill deposit to this branch,Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Very Limited staff if you are in a hurry this branch is not for you. You might as well go to malls because the line is very long most of the times.,1,2 years ago,very limited staff if you are in a hurry this branch is not for you. you might as well go to malls because the line is very long most of the times.,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Very poor customer service. It's been years and their service is just the worst. Napakabagal. I had to take a leave from work just to visit and transact with this branch.,1,4 years ago,very poor customer service. its been years and their service is just the worst. napakabagal. i had to take a leave from work just to visit and transact with this branch.,Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"Super slow, very slow and ultra slow, so slow service worst bpi branch",1,a year ago,"super slow, very slow and ultra slow, so slow service worst bpi branch",Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"Worst BPI Branch ever - The queue is always packed here. Don't bother visiting this branch, and heck don't even bother opening an account with BPI 😡 …",1,5 years ago,"worst bpi branch ever  the queue is always packed here. dont bother visiting this branch, and heck dont even bother opening an account with bpi  ",Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Super slow service!,1,3 months ago,super slow service!,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Their customer service is terrible. Slow and painful process when opening an account. They don't deserve even 1 star.,1,6 years ago,their customer service is terrible. slow and painful process when opening an account. they dont deserve even 1 star.,Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"Waited for 4 hours
Understaffed×Not Accomodating",1,11 months ago,waited for 4 hours understaffednot accomodating,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Super slow super mega slow super ulra slow service.,1,11 months ago,super slow super mega slow super ulra slow service.,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,The queue or people's line is always long here :-(,1,8 years ago,the queue or peoples line is always long here ,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Branch does not seem to answer the phone.,1,6 years ago,branch does not seem to answer the phone.,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Easy Access in terms of ATM Withdrawals,5,5 years ago,easy access in terms of atm withdrawals,Positive,Positive,Positive,Positive,Negative,Positive
BPI Caloocan Camarin Susano Branch,It so nice,4,11 months ago,it so nice,Positive,Positive,Positive,Positive,Negative,Positive
BPI Caloocan Camarin Susano Branch,Parking space is always full...,3,7 years ago,parking space is always full...,Positive,Neutral,Positive,Neutral,Negative,Positive
BPI Caloocan Camarin Susano Branch,Slowest BPI Transactions!,1,a year ago,slowest bpi transactions!,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Nice bank,5,4 years ago,nice bank,Positive,Positive,Positive,Positive,Negative,Positive
BPI Caloocan Camarin Susano Branch,Understaffed.,2,8 months ago,understaffed.,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Nice,5,a year ago,nice,Positive,Positive,Positive,Positive,Negative,Positive
BPI Caloocan Camarin Susano Branch,Worst branch of BPI.,1,2 years ago,worst branch of bpi.,Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,its close until further notice,1,5 years ago,its close until further notice,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Slow service.,1,a year ago,slow service.,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Slow and poor service!!!,1,4 years ago,slow and poor service!!!,Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,not answering my call,1,4 years ago,not answering my call,Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Very poor service!!! It's very slow.. anyone can address this issue to speed up the service of this branch. Very waste of time! Hussle can't see your staff!!!,1,3 months ago,very poor service!!! its very slow.. anyone can address this issue to speed up the service of this branch. very waste of time! hussle cant see your staff!!!,Positive,Negative,Positive,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"IF THERE ARE ZERO OR NEGATIVE STARS, THAT'S WHAT I'LL CHOOSE. IT'S TOO LONG! 3 HOURS MINIMUM FOR A SIMPLE CS TRANSACTION.",1,11 months ago,"if there are zero or negative stars, thats what ill choose. its too long! 3 hours minimum for a simple cs transaction.",Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"Slowest branch I've ever been to. I've been here since 1pm and I'm still here today. (2 hours at least). There were only a few people at first and as time went on, more and more people came, but only a few of them could be called. In 20-30 minutes they only accommodate two or three tellers. Very slow as in.",1,a year ago,"slowest branch ive ever been to. ive been here since 1pm and im still here today. 2 hours at least. there were only a few people at first and as time went on, more and more people came, but only a few of them could be called. in 2030 minutes they only accommodate two or three tellers. very slow as in.",Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Is the BPI Camarin branch open now?,5,a month ago,is the bpi camarin branch open now?,Negative,Positive,Negative,Positive,Negative,Positive
BPI Caloocan Camarin Susano Branch,"The line is not too long but the service is really slow. They could accommodate 1 person every 30-40 minutes. When you go here, expect a 4-5 hour waiting time and be patient.",1,a year ago,"the line is not too long but the service is really slow. they could accommodate 1 person every 3040 minutes. when you go here, expect a 45 hour waiting time and be patient.",Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Bpi please change your staff downstairs and act so slowly I only arrived 3 of us then my number jumped to 46 then I got 24 then you just say offline the first one arrived,1,11 months ago,bpi please change your staff downstairs and act so slowly i only arrived 3 of us then my number jumped to 46 then i got 24 then you just say offline the first one arrived,Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,"Very impolite customer service her name is BEA. It's good that their guards said good morning, I said good morning to him. Very unfriendly. I also have accounts with other banks like bdo and metro bank. This is the first time I experienced …",1,a year ago,"very impolite customer service her name is bea. its good that their guards said good morning, i said good morning to him. very unfriendly. i also have accounts with other banks like bdo and metro bank. this is the first time i experienced ",Negative,Negative,Negative,Negative,Negative,Positive
BPI Caloocan Camarin Susano Branch,Bring a pillow and blanket. There is forever at BPI Camarin branch 😆 2 hours is not enough. GOODLUCK! I hope the complaints about this branch reach the management. …,1,a year ago,bring a pillow and blanket. there is forever at bpi camarin branch  2 hours is not enough. goodluck! i hope the complaints about this branch reach the management. ,Negative,Negative,Negative,Negative,Negative,Positive
